Chidamber-Kemerer metrics,jeu., 20 oct. 2022 17:15:06 HAE
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.event.AnnotationChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.AxisChangeEvent,10,3,1,0,3,2
org.jfree.chart.event.AxisChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.ChartChangeEvent,35,2,2,7,9,7
org.jfree.chart.event.ChartChangeEventType,4,n/a,2,n/a,2,0
org.jfree.chart.event.ChartChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.ChartProgressEvent,5,2,3,0,9,7
org.jfree.chart.event.ChartProgressEventType,2,n/a,2,n/a,2,0
org.jfree.chart.event.ChartProgressListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.MarkerChangeEvent,11,3,1,0,3,2
org.jfree.chart.event.MarkerChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.PlotChangeEvent,14,3,1,0,3,2
org.jfree.chart.event.PlotChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.RendererChangeEvent,12,3,2,0,5,4
org.jfree.chart.event.RendererChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.TitleChangeEvent,9,3,1,0,3,2
org.jfree.chart.event.TitleChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,2,1,1,0,5,3
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGeneratorTest,1,1,1,0,4,1
org.jfree.chart.imagemap.ImageMapUtils,13,1,2,0,25,23
org.jfree.chart.imagemap.ImageMapUtilsTest,8,1,5,0,19,5
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,5,1,1,0,4,2
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGeneratorTest,1,1,1,0,4,1
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,5,1,1,0,4,2
org.jfree.chart.imagemap.StandardToolTipTagFragmentGeneratorTest,1,1,1,0,4,1
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,5,1,1,0,3,2
org.jfree.chart.imagemap.StandardURLTagFragmentGeneratorTest,1,1,1,0,4,1
org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.imagemap.URLTagFragmentGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.internal.Args,239,1,5,0,7,10
org.jfree.chart.internal.ArgsTest,1,1,1,0,3,1
org.jfree.chart.internal.ArrayUtils,3,1,1,0,11,31
org.jfree.chart.internal.CloneUtils,244,1,1,0,19,13
